 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 8.    Time:   9:57:37
 Units: L = cm   , T = days , M = mmol 



                                   Node(51)                         Node(101)                         Node(151)                         Node(201)                         Node(251)                         Node(301)                         Node(351)                         Node(401)

         time           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux
         1710.00      -158.270  0.2988  1.290e-02      -135.560  0.3692 -4.920e-02      -310.680  0.3063 -4.760e-02      -241.380  0.2933 -3.100e-02      -176.640  0.2103 -1.910e-02      -119.470 0.07900 -1.920e-02      -118.120  0.1321 -2.290e-02      -130.780  0.2742 -3.130e-02
         1720.00      -197.880  0.2937  1.750e-02      -152.160  0.3651 -3.840e-02      -306.120  0.3070 -4.400e-02      -234.840  0.2953 -3.420e-02      -174.970  0.2109 -2.270e-02      -119.800 0.07890 -1.910e-02      -119.140  0.1315 -2.140e-02      -133.560  0.2731 -2.980e-02
         1730.00      -226.890  0.2906  1.520e-02      -171.940  0.3612 -3.020e-02      -305.620  0.3071 -3.750e-02      -230.810  0.2965 -3.380e-02      -172.710  0.2118 -2.590e-02      -119.450 0.07900 -1.990e-02      -119.980  0.1310 -2.030e-02      -136.320  0.2721 -2.830e-02
         1740.00      -242.840  0.2888  1.140e-02      -191.880  0.3573 -2.400e-02      -307.550  0.3068 -3.130e-02      -229.410  0.2969 -3.160e-02      -170.820  0.2126 -2.750e-02      -118.690 0.07930 -2.120e-02      -120.750  0.1307 -1.980e-02      -139.160  0.2710 -2.680e-02
         1750.00      -254.900  0.2877  8.910e-03      -210.330  0.3543 -1.980e-02      -309.990  0.3064 -2.670e-02      -229.360  0.2969 -2.930e-02      -169.350  0.2132 -2.810e-02      -117.500 0.07970 -2.290e-02      -121.310  0.1305 -2.020e-02      -141.610  0.2700 -2.550e-02
         1760.00      -265.950  0.2867  7.140e-03      -226.100  0.3519 -1.680e-02      -312.900  0.3059 -2.300e-02      -230.270  0.2966 -2.700e-02      -168.500  0.2135 -2.780e-02      -116.430 0.08010 -2.430e-02      -121.210  0.1305 -2.100e-02      -143.730  0.2692 -2.440e-02
         1770.00      -275.830  0.2858  5.790e-03      -241.100  0.3495 -1.450e-02      -315.980  0.3055 -2.020e-02      -231.770  0.2962 -2.480e-02      -168.200  0.2136 -2.710e-02      -115.620 0.08040 -2.530e-02      -120.470  0.1308 -2.200e-02      -145.410  0.2685 -2.340e-02
         1780.00      -284.880  0.2850  4.760e-03      -254.560  0.3478 -1.280e-02      -319.110  0.3050 -1.790e-02      -233.610  0.2956 -2.280e-02      -168.320  0.2136 -2.600e-02      -115.130 0.08050 -2.580e-02      -119.480  0.1313 -2.330e-02      -146.600  0.2680 -2.280e-02
         1790.00      -289.820  0.2846 -1.240e-04      -266.160  0.3464 -1.150e-02      -322.210  0.3045 -1.610e-02      -235.640  0.2950 -2.110e-02      -168.770  0.2134 -2.490e-02      -114.930 0.08060 -2.590e-02      -118.640  0.1318 -2.440e-02      -147.240  0.2678 -2.250e-02
         1800.00      -215.010  0.2919 -3.580e-02      -276.490  0.3451 -1.030e-02      -325.210  0.3040 -1.460e-02      -237.760  0.2944 -1.960e-02      -169.460  0.2131 -2.370e-02      -114.990 0.08060 -2.560e-02      -118.040  0.1321 -2.500e-02      -147.340  0.2677 -2.240e-02
         1810.00      -186.270  0.2951 -3.260e-02      -285.180  0.3440 -9.650e-03      -328.110  0.3036 -1.340e-02      -239.910  0.2938 -1.820e-02      -170.310  0.2128 -2.260e-02      -115.250 0.08050 -2.510e-02      -117.660  0.1324 -2.540e-02      -146.980  0.2679 -2.260e-02
         1820.00      -181.230  0.2958 -2.430e-02      -288.640  0.3436 -9.950e-03      -330.840  0.3032 -1.250e-02      -242.040  0.2931 -1.700e-02      -171.280  0.2124 -2.150e-02      -115.670 0.08030 -2.450e-02      -117.500  0.1324 -2.540e-02      -146.300  0.2682 -2.300e-02
         1830.00      -183.910  0.2954 -1.860e-02      -285.450  0.3440 -1.100e-02      -333.190  0.3028 -1.210e-02      -244.090  0.2926 -1.610e-02      -172.310  0.2120 -2.040e-02      -116.190 0.08020 -2.370e-02      -117.530  0.1324 -2.510e-02      -145.500  0.2685 -2.340e-02
         1840.00      -189.470  0.2947 -1.370e-02      -278.880  0.3448 -1.210e-02      -334.980  0.3025 -1.220e-02      -245.930  0.2922 -1.560e-02      -173.370  0.2116 -1.950e-02      -116.790 0.07990 -2.290e-02      -117.720  0.1323 -2.460e-02      -144.750  0.2688 -2.380e-02
         1850.00      -197.640  0.2938 -9.340e-03      -272.670  0.3456 -1.290e-02      -336.240  0.3023 -1.270e-02      -247.470  0.2918 -1.530e-02      -174.390  0.2112 -1.870e-02      -117.440 0.07970 -2.200e-02      -118.030  0.1321 -2.400e-02      -144.180  0.2690 -2.410e-02
         1860.00      -206.340  0.2928 -6.640e-03      -268.660  0.3461 -1.320e-02      -337.120  0.3022 -1.320e-02      -248.710  0.2915 -1.520e-02      -175.340  0.2108 -1.800e-02      -118.080 0.07950 -2.110e-02      -118.440  0.1319 -2.330e-02      -143.860  0.2691 -2.430e-02
         1870.00      -216.100  0.2918 -4.600e-03      -267.230  0.3462 -1.320e-02      -337.810  0.3021 -1.360e-02      -249.700  0.2913 -1.520e-02      -176.180  0.2105 -1.760e-02      -118.700 0.07930 -2.030e-02      -118.910  0.1316 -2.250e-02      -143.820  0.2691 -2.430e-02
         1880.00      -224.590  0.2908 -4.900e-03      -268.070  0.3461 -1.290e-02      -338.490  0.3020 -1.370e-02      -250.510  0.2911 -1.510e-02      -176.910  0.2102 -1.720e-02      -119.270 0.07910 -1.960e-02      -119.430  0.1313 -2.170e-02      -144.050  0.2690 -2.420e-02
         1890.00      -221.260  0.2912 -1.050e-02      -270.580  0.3458 -1.250e-02      -339.220  0.3019 -1.360e-02      -251.250  0.2910 -1.500e-02      -177.550  0.2099 -1.680e-02      -119.790 0.07890 -1.900e-02      -119.990  0.1310 -2.090e-02      -144.520  0.2689 -2.390e-02
         1900.00      -214.970  0.2919 -1.240e-02      -273.840  0.3454 -1.200e-02      -340.060  0.3017 -1.330e-02      -251.970  0.2908 -1.480e-02      -178.120  0.2097 -1.650e-02      -120.230 0.07870 -1.840e-02      -120.850  0.1306 -2.040e-02      -145.180  0.2686 -2.360e-02
         1910.00      -219.220  0.2914 -7.680e-03      -276.690  0.3451 -1.180e-02      -340.980  0.3016 -1.300e-02      -252.700  0.2906 -1.460e-02      -178.640  0.2095 -1.630e-02      -120.590 0.07860 -1.810e-02      -121.880  0.1303 -2.000e-02      -145.980  0.2683 -2.310e-02
         1920.00      -236.450  0.2895 -2.250e-03      -278.720  0.3448 -1.160e-02      -341.910  0.3014 -1.270e-02      -253.450  0.2904 -1.430e-02      -179.170  0.2093 -1.600e-02      -120.970 0.07850 -1.790e-02      -122.860  0.1299 -1.950e-02      -146.860  0.2679 -2.270e-02
         1930.00      -274.100  0.2860 -8.440e-03      -280.850  0.3445 -1.140e-02      -342.820  0.3013 -1.250e-02      -254.220  0.2903 -1.400e-02      -179.710  0.2091 -1.580e-02      -121.440 0.07840 -1.770e-02      -123.720  0.1296 -1.920e-02      -147.770  0.2676 -2.220e-02
         1940.00      -205.650  0.2929 -4.940e-02      -284.620  0.3441 -1.070e-02      -343.730  0.3012 -1.220e-02      -254.980  0.2901 -1.380e-02      -180.260  0.2089 -1.550e-02      -121.940 0.07830 -1.750e-02      -124.450  0.1293 -1.890e-02      -148.690  0.2672 -2.170e-02
         1950.00      -266.390  0.2867 -3.130e-02      -290.620  0.3433 -9.910e-03      -344.730  0.3010 -1.180e-02      -255.750  0.2899 -1.350e-02      -180.830  0.2086 -1.530e-02      -122.460 0.07820 -1.730e-02      -125.110  0.1291 -1.870e-02      -149.580  0.2669 -2.120e-02
         1960.00      -152.980  0.2994 -6.570e-02      -301.590  0.3420 -8.210e-03      -345.920  0.3008 -1.120e-02      -256.590  0.2897 -1.320e-02      -181.410  0.2084 -1.510e-02      -122.980 0.07810 -1.720e-02      -125.700  0.1289 -1.840e-02      -150.410  0.2665 -2.080e-02
         1970.00      -260.070  0.2873 -6.880e-02      -323.490  0.3397 -5.580e-03      -347.490  0.3006 -1.020e-02      -257.540  0.2895 -1.270e-02      -182.010  0.2082 -1.480e-02      -123.510 0.07800 -1.700e-02      -126.260  0.1287 -1.820e-02      -151.180  0.2662 -2.030e-02
         1980.00      -206.070  0.2928 -5.430e-02      -349.680  0.3372 -3.470e-03      -349.640  0.3002 -8.730e-03      -258.740  0.2892 -1.190e-02      -182.660  0.2079 -1.450e-02      -124.050 0.07790 -1.670e-02      -126.790  0.1285 -1.800e-02      -151.900  0.2660 -2.000e-02
         1990.00      -212.420  0.2922 -2.590e-02      -365.530  0.3357 -3.400e-03      -352.220  0.2998 -7.270e-03      -260.250  0.2888 -1.100e-02      -183.400  0.2076 -1.400e-02      -124.620 0.07770 -1.650e-02      -127.300  0.1283 -1.780e-02      -152.740  0.2657 -1.970e-02
         2000.00      -209.310  0.2925 -2.850e-02      -370.730  0.3352 -3.920e-03      -354.750  0.2994 -6.310e-03      -261.990  0.2884 -1.010e-02      -184.230  0.2073 -1.350e-02      -125.210 0.07760 -1.630e-02      -127.790  0.1281 -1.750e-02      -153.650  0.2654 -1.950e-02
         2010.00      -162.430  0.2982 -5.220e-02      -366.600  0.3356 -4.870e-03      -356.960  0.2991 -5.910e-03      -263.790  0.2880 -9.450e-03      -185.170  0.2069 -1.290e-02      -125.850 0.07750 -1.600e-02      -128.280  0.1280 -1.730e-02      -154.590  0.2652 -1.930e-02
         2020.00      -168.430  0.2974 -2.570e-02      -355.410  0.3366 -6.260e-03      -358.720  0.2988 -5.970e-03      -265.490  0.2876 -9.020e-03      -186.180  0.2065 -1.240e-02      -126.550 0.07730 -1.570e-02      -128.770  0.1278 -1.710e-02      -155.550  0.2649 -1.910e-02
         2030.00      -20.1900  0.3252 -9.110e-01      -20.9700  0.4201 -1.140e+00      -359.930  0.2986 -6.490e-03      -266.980  0.2872 -8.840e-03      -187.220  0.2061 -1.190e-02      -127.310 0.07710 -1.540e-02      -129.260  0.1276 -1.680e-02      -156.530  0.2646 -1.880e-02
         2040.00      -54.2100  0.3170 -1.790e-01      -33.3300  0.4107 -3.350e-01      -192.160  0.3316 -3.620e-01      -196.970  0.3065 -1.950e-01      -186.110  0.2066 -1.940e-02      -128.110 0.07700 -1.500e-02      -129.780  0.1274 -1.660e-02      -157.500  0.2643 -1.860e-02
         2050.00      -70.7000  0.3135 -1.170e-01      -55.9700  0.3972 -1.710e-01      -196.260  0.3306 -2.120e-01      -153.740  0.3219 -1.950e-01      -157.380  0.2179 -9.050e-02      -127.870 0.07700 -1.610e-02      -130.320  0.1272 -1.630e-02      -158.460  0.2640 -1.840e-02
         2060.00      -59.5500  0.3158 -3.740e-01      -72.1900  0.3896 -1.200e-01      -206.740  0.3280 -1.470e-01      -149.350  0.3237 -1.590e-01      -133.590  0.2297 -1.350e-01      -116.480 0.08010 -3.230e-02      -130.830  0.1270 -1.610e-02      -159.450  0.2637 -1.820e-02
         2070.00      -45.2700  0.3190 -2.660e-01      -30.4700  0.4127 -3.930e-01      -186.450  0.3332 -2.990e-01      -146.790  0.3248 -1.850e-01      -123.470  0.2350 -1.360e-01      -96.2000 0.08720 -7.080e-02      -130.220  0.1273 -1.760e-02      -160.450  0.2634 -1.790e-02
         2080.00      -61.3700  0.3154 -1.810e-01      -52.1000  0.3992 -1.870e-01      -178.710  0.3355 -2.340e-01      -127.670  0.3331 -2.460e-01      -111.790  0.2427 -2.030e-01      -83.7800 0.09390 -1.200e-01      -118.680  0.1318 -3.550e-02      -161.400  0.2631 -1.770e-02
         2090.00      -83.0200  0.3110 -6.300e-02      -64.0000  0.3933 -1.440e-01      -190.810  0.3320 -1.710e-01      -131.430  0.3315 -1.970e-01      -105.300  0.2472 -2.110e-01      -73.3500  0.1003 -1.890e-01      -93.8900  0.1464 -1.020e-01      -161.610  0.2631 -1.770e-02
         2100.00      -105.530  0.3069 -2.330e-02      -82.0500  0.3856 -9.840e-02      -203.110  0.3289 -1.280e-01      -138.310  0.3285 -1.580e-01      -107.220  0.2459 -1.860e-01      -72.1800  0.1013 -2.000e-01      -78.3400  0.1603 -1.840e-01      -150.980  0.2663 -2.050e-02
         2110.00      -94.9300  0.3087 -6.580e-02      -99.6300  0.3794 -7.470e-02      -216.590  0.3257 -9.600e-02      -147.230  0.3246 -1.260e-01      -111.640  0.2428 -1.560e-01      -73.6400  0.1000 -1.760e-01      -74.8100  0.1638 -1.870e-01      -94.6700  0.2915 -6.940e-02
         2120.00      -97.7300  0.3082 -5.380e-02      -105.290  0.3776 -7.130e-02      -226.770  0.3232 -8.250e-02      -155.450  0.3213 -1.050e-01      -115.880  0.2398 -1.310e-01      -75.2700 0.09860 -1.490e-01      -75.8800  0.1625 -1.640e-01      -71.6200  0.3071 -1.430e-01
         2130.00      -110.390  0.3061 -3.110e-02      -109.860  0.3762 -6.580e-02      -233.910  0.3215 -7.590e-02      -161.950  0.3189 -9.330e-02      -119.630  0.2372 -1.130e-01      -77.1600 0.09750 -1.350e-01      -78.2900  0.1603 -1.480e-01      -68.8300  0.3094 -1.590e-01
         2140.00      -121.190  0.3042 -2.230e-02      -119.240  0.3734 -5.670e-02      -240.200  0.3199 -6.840e-02      -167.210  0.3170 -8.380e-02      -123.090  0.2352 -1.010e-01      -79.8700 0.09600 -1.220e-01      -80.3100  0.1585 -1.360e-01      -70.1000  0.3084 -1.510e-01
         2150.00      -130.340  0.3028 -1.880e-02      -130.270  0.3706 -4.890e-02      -246.590  0.3186 -6.020e-02      -172.120  0.3152 -7.510e-02      -126.420  0.2335 -9.160e-02      -82.5200 0.09450 -1.090e-01      -82.5000  0.1566 -1.240e-01      -71.9200  0.3069 -1.410e-01
         2160.00      -61.7400  0.3153 -1.810e-01      -125.330  0.3718 -6.450e-02      -252.750  0.3174 -5.430e-02      -177.050  0.3134 -6.770e-02      -129.610  0.2318 -8.290e-02      -84.9200 0.09320 -9.860e-02      -84.7300  0.1546 -1.120e-01      -73.8700  0.3053 -1.300e-01
         2170.00      -77.8600  0.3120 -8.930e-02      -82.5600  0.3855 -1.130e-01      -247.350  0.3185 -8.530e-02      -179.610  0.3125 -7.230e-02      -132.470  0.2303 -7.630e-02      -87.0400 0.09210 -8.920e-02      -86.8600  0.1527 -1.010e-01      -75.8200  0.3037 -1.200e-01
         2180.00      -91.3300  0.3094 -5.350e-02      -84.5600  0.3847 -1.010e-01      -238.310  0.3204 -1.020e-01      -175.370  0.3140 -8.820e-02      -133.460  0.2298 -7.820e-02      -88.6700 0.09120 -8.230e-02      -88.8000  0.1510 -9.150e-02      -78.5400  0.3020 -1.120e-01
         2190.00      -104.760  0.3070 -3.440e-02      -96.2100  0.3804 -8.070e-02      -237.900  0.3205 -9.140e-02      -172.110  0.3152 -9.060e-02      -132.430  0.2303 -8.440e-02      -89.2100 0.09090 -8.090e-02      -90.3300  0.1496 -8.450e-02      -81.7800  0.2999 -1.040e-01
         2200.00      -114.550  0.3053 -2.730e-02      -108.800  0.3766 -6.600e-02      -241.590  0.3196 -7.790e-02      -172.390  0.3151 -8.500e-02      -131.490  0.2308 -8.660e-02      -88.8500 0.09110 -8.320e-02      -91.0500  0.1489 -8.210e-02      -84.9500  0.2978 -9.520e-02
         2210.00      -124.130  0.3038 -2.110e-02      -121.480  0.3727 -5.500e-02      -246.710  0.3186 -6.680e-02      -174.810  0.3142 -7.730e-02      -131.620  0.2307 -8.410e-02      -88.4800 0.09130 -8.480e-02      -91.0300  0.1490 -8.320e-02      -87.3600  0.2963 -8.880e-02
         2220.00      -133.310  0.3024 -1.700e-02      -133.150  0.3698 -4.730e-02      -252.400  0.3175 -5.800e-02      -178.310  0.3130 -6.980e-02      -132.680  0.2302 -7.940e-02      -88.5800 0.09120 -8.380e-02      -90.8500  0.1491 -8.430e-02      -88.5800  0.2955 -8.550e-02
         2230.00      -141.780  0.3011 -1.380e-02      -143.960  0.3672 -4.120e-02      -258.110  0.3164 -5.110e-02      -182.280  0.3115 -6.300e-02      -134.320  0.2293 -7.380e-02      -89.1600 0.09090 -8.070e-02      -90.9100  0.1491 -8.360e-02      -88.9300  0.2952 -8.460e-02
         2240.00      -151.270  0.2997 -9.900e-03      -155.100  0.3645 -3.610e-02      -263.710  0.3153 -4.540e-02      -186.390  0.3100 -5.700e-02      -136.270  0.2283 -6.820e-02      -90.0600 0.09040 -7.630e-02      -91.3200  0.1487 -8.090e-02      -89.1200  0.2951 -8.410e-02
         2250.00      -161.840  0.2983 -6.490e-03      -165.510  0.3625 -3.210e-02      -269.180  0.3142 -4.060e-02      -190.500  0.3085 -5.170e-02      -138.350  0.2272 -6.290e-02      -91.1100 0.08980 -7.130e-02      -92.0000  0.1481 -7.690e-02      -89.6200  0.2948 -8.280e-02
         2260.00      -174.120  0.2967 -2.320e-03      -175.410  0.3605 -2.860e-02      -274.390  0.3132 -3.660e-02      -194.510  0.3072 -4.710e-02      -140.440  0.2261 -5.790e-02      -92.2100 0.08920 -6.610e-02      -92.8500  0.1473 -7.210e-02      -90.6000  0.2941 -8.020e-02
         2270.00      -188.960  0.2948  1.820e-03      -185.680  0.3585 -2.550e-02      -279.340  0.3122 -3.310e-02      -198.370  0.3061 -4.310e-02      -142.490  0.2250 -5.330e-02      -93.2900 0.08860 -6.120e-02      -93.7600  0.1465 -6.710e-02      -91.9900  0.2932 -7.650e-02
         2280.00      -213.110  0.2921  7.250e-03      -197.000  0.3564 -2.250e-02      -284.110  0.3113 -2.990e-02      -202.080  0.3050 -3.950e-02      -144.470  0.2240 -4.910e-02      -94.3100 0.08810 -5.650e-02      -94.6800  0.1457 -6.220e-02      -93.6800  0.2921 -7.200e-02
         2290.00      -255.220  0.2877  1.060e-02      -208.540  0.3546 -1.980e-02      -288.750  0.3104 -2.700e-02      -205.670  0.3039 -3.620e-02      -146.340  0.2230 -4.530e-02      -95.2500 0.08750 -5.210e-02      -95.5700  0.1449 -5.760e-02      -95.5500  0.2909 -6.710e-02
         2300.00      -346.700  0.2801  1.010e-02      -221.030  0.3527 -1.710e-02      -293.270  0.3095 -2.420e-02      -209.160  0.3029 -3.310e-02      -148.200  0.2220 -4.190e-02      -96.1700 0.08720 -4.990e-02      -96.9100  0.1442 -5.460e-02      -97.9300  0.2897 -6.420e-02
         2301.00      -367.070  0.2786  9.040e-03      -222.410  0.3524 -1.680e-02      -293.720  0.3094 -2.390e-02      -209.510  0.3028 -3.280e-02      -148.390  0.2219 -4.160e-02      -96.2900 0.08710 -4.970e-02      -97.0500  0.1441 -5.440e-02      -98.1600  0.2896 -6.390e-02
         2310.00      -480.350  0.2716  6.260e-03      -236.740  0.3502 -1.400e-02      -297.760  0.3086 -2.150e-02      -212.600  0.3019 -3.030e-02      -150.150  0.2210 -3.900e-02      -97.5000 0.08670 -4.780e-02      -98.2700  0.1434 -5.270e-02      -100.040  0.2887 -6.170e-02
         2320.00      -768.700  0.2593 -8.180e-03      -256.750  0.3475 -1.080e-02      -302.360  0.3077 -1.870e-02      -216.080  0.3008 -2.760e-02      -152.180  0.2199 -3.630e-02      -99.0400 0.08620 -4.560e-02      -99.5600  0.1427 -5.090e-02      -101.950  0.2877 -5.930e-02
         2330.00      -949.150  0.2539 -1.300e-02      -284.400  0.3441 -6.540e-03      -307.180  0.3068 -1.580e-02      -219.680  0.2998 -2.510e-02      -154.280  0.2191 -3.390e-02      -100.690 0.08560 -4.330e-02      -100.880  0.1419 -4.890e-02      -103.760  0.2868 -5.720e-02
         2340.00      -2.60000  0.3295 -3.640e+00      -320.980  0.3400 -3.200e-03      -312.410  0.3060 -1.280e-02      -223.450  0.2986 -2.240e-02      -156.460  0.2182 -3.150e-02      -102.400 0.08500 -4.100e-02      -102.250  0.1411 -4.680e-02      -105.510  0.2859 -5.500e-02
         2350.00      -59.9200  0.3157 -1.530e-01      -83.3700  0.3852 -1.690e-01      -315.370  0.3056 -1.930e-02      -227.400  0.2975 -2.020e-02      -158.720  0.2173 -2.920e-02      -104.140 0.08440 -3.860e-02      -103.660  0.1403 -4.460e-02      -107.250  0.2850 -5.290e-02
         2360.00      -87.4100  0.3102 -4.530e-02      -69.1900  0.3909 -1.360e-01      -268.160  0.3144 -1.170e-01      -218.860  0.3000 -5.440e-02      -160.530  0.2166 -2.910e-02      -105.900 0.08380 -3.630e-02      -105.100  0.1395 -4.230e-02      -109.010  0.2841 -5.080e-02
         2370.00      -110.060  0.3061 -1.620e-02      -87.7900  0.3835 -9.230e-02      -253.650  0.3172 -1.040e-01      -199.790  0.3057 -7.800e-02      -157.850  0.2177 -4.150e-02      -107.310 0.08330 -3.490e-02      -106.570  0.1387 -4.010e-02      -110.800  0.2832 -4.860e-02
         2380.00      -85.6700  0.3105 -1.640e-01      -106.680  0.3772 -6.830e-02      -254.460  0.3171 -8.170e-02      -191.200  0.3083 -7.580e-02      -151.970  0.2200 -5.610e-02      -106.930 0.08340 -3.700e-02      -107.950  0.1379 -3.810e-02      -112.620  0.2823 -4.640e-02
         2390.00      -68.7700  0.3139 -1.740e-01      -97.4500  0.3800 -9.150e-02      -256.160  0.3167 -7.390e-02      -188.790  0.3091 -7.030e-02      -147.490  0.2224 -6.180e-02      -104.350 0.08430 -4.230e-02      -108.810  0.1374 -3.750e-02      -114.460  0.2813 -4.420e-02
         2400.00      -10.6400  0.3276 -1.650e+00      -3.08000  0.4372 -2.310e+00      -86.4300  0.3682 -2.260e+00      -139.760  0.3279 -5.600e-01      -144.050  0.2242 -6.780e-02      -101.030 0.08550 -4.760e-02      -108.610  0.1375 -3.910e-02      -116.160  0.2805 -4.210e-02
         2410.00      -48.5600  0.3183 -2.350e-01      -25.8200  0.4162 -4.300e-01      -121.490  0.3539 -5.620e-01      -78.9600  0.3580 -7.160e-01      -69.5100  0.2790 -8.260e-01      -60.2000  0.1115 -5.410e-01      -107.100  0.1384 -4.360e-02      -117.380  0.2798 -4.060e-02
         2420.00      -30.1200  0.3227 -5.370e-01      -17.8200  0.4229 -6.920e-01      -136.020  0.3488 -5.230e-01      -94.5600  0.3493 -4.840e-01      -79.0400  0.2689 -5.160e-01      -56.6800  0.1159 -5.670e-01      -57.2600  0.1895 -6.250e-01      -99.3000  0.2890 -6.280e-02
         2430.00      -73.0200  0.3130 -7.040e-02      -43.9800  0.4038 -2.270e-01      -151.210  0.3436 -3.110e-01      -98.6600  0.3472 -4.070e-01      -80.7000  0.2674 -4.870e-01      -57.7200  0.1146 -5.160e-01      -58.9700  0.1861 -5.210e-01      -40.7800  0.3369 -5.050e-01
         2440.00      -109.560  0.3062  1.810e-03      -70.6200  0.3903 -1.180e-01      -179.700  0.3352 -1.720e-01      -116.850  0.3381 -2.420e-01      -90.9200  0.2582 -3.170e-01      -60.3700  0.1113 -3.850e-01      -61.1700  0.1824 -4.250e-01      -41.6800  0.3359 -4.840e-01
         2450.00      -145.490  0.3006  1.490e-02      -96.8800  0.3802 -7.270e-02      -201.420  0.3293 -1.120e-01      -132.750  0.3309 -1.650e-01      -100.020  0.2509 -2.260e-01      -66.3900  0.1062 -2.850e-01      -65.7100  0.1763 -3.360e-01      -45.6800  0.3311 -3.940e-01
         2460.00      -177.900  0.2962  1.760e-02      -121.930  0.3726 -4.960e-02      -219.070  0.3251 -7.900e-02      -145.940  0.3252 -1.200e-01      -108.600  0.2449 -1.670e-01      -71.3300  0.1020 -2.090e-01      -70.6500  0.1695 -2.490e-01      -50.2600  0.3262 -3.210e-01
         2470.00      -199.390  0.2936  1.330e-02      -145.390  0.3668 -3.620e-02      -234.480  0.3213 -5.840e-02      -157.940  0.3204 -9.220e-02      -115.650  0.2400 -1.290e-01      -74.7700 0.09910 -1.570e-01      -74.6200  0.1641 -1.820e-01      -56.7200  0.3198 -2.460e-01
         2480.00      -212.480  0.2921  9.800e-03      -166.390  0.3623 -2.850e-02      -246.600  0.3186 -4.630e-02      -167.740  0.3168 -7.380e-02      -121.010  0.2363 -1.040e-01      -77.2900 0.09740 -1.330e-01      -77.5600  0.1610 -1.500e-01      -62.6500  0.3144 -1.940e-01
         2490.00      -225.100  0.2908  8.000e-03      -184.450  0.3587 -2.320e-02      -257.050  0.3166 -3.800e-02      -176.250  0.3137 -6.110e-02      -126.210  0.2336 -8.710e-02      -80.9700 0.09540 -1.150e-01      -80.2500  0.1586 -1.350e-01      -68.0100  0.3101 -1.630e-01
         2500.00      -237.340  0.2894  6.900e-03      -201.020  0.3558 -1.970e-02      -266.260  0.3148 -3.210e-02      -183.960  0.3109 -5.200e-02      -131.160  0.2310 -7.440e-02      -84.6400 0.09340 -9.850e-02      -83.2200  0.1559 -1.180e-01      -71.5100  0.3072 -1.430e-01
         2510.00      -245.260  0.2886  3.190e-03      -215.210  0.3536 -1.710e-02      -274.410  0.3132 -2.780e-02      -190.880  0.3084 -4.490e-02      -135.600  0.2286 -6.450e-02      -87.8500 0.09160 -8.440e-02      -86.2900  0.1532 -1.020e-01      -74.3400  0.3049 -1.270e-01
         2520.00      -175.060  0.2966 -1.240e-01      -228.160  0.3515 -1.500e-02      -281.690  0.3117 -2.440e-02      -197.090  0.3065 -3.950e-02      -139.500  0.2266 -5.650e-02      -90.5200 0.09010 -7.270e-02      -89.1800  0.1506 -8.790e-02      -77.3300  0.3028 -1.160e-01
         2530.00      -103.800  0.3072 -9.370e-02      -238.330  0.3499 -1.440e-02      -288.220  0.3105 -2.160e-02      -202.660  0.3048 -3.500e-02      -142.920  0.2248 -4.980e-02      -92.6900 0.08900 -6.320e-02      -91.6900  0.1484 -7.570e-02      -81.5000  0.3001 -1.040e-01
         2540.00      -109.440  0.3062 -5.910e-02      -220.940  0.3527 -2.240e-02      -293.710  0.3094 -2.050e-02      -207.660  0.3033 -3.150e-02      -145.910  0.2232 -4.420e-02      -94.4500 0.08800 -5.540e-02      -93.7800  0.1465 -6.560e-02      -86.1500  0.2970 -9.200e-02
         2550.00      -109.510  0.3062 -5.730e-02      -187.140  0.3582 -3.200e-02      -296.270  0.3089 -2.420e-02      -211.620  0.3022 -3.020e-02      -148.510  0.2218 -3.980e-02      -95.8200 0.08730 -5.020e-02      -95.4500  0.1450 -5.730e-02      -90.7800  0.2940 -7.970e-02
         2560.00      -115.890  0.3051 -4.160e-02      -165.690  0.3624 -3.830e-02      -295.560  0.3090 -3.070e-02      -213.800  0.3015 -3.150e-02      -150.780  0.2206 -3.730e-02      -97.4200 0.08670 -4.750e-02      -97.1500  0.1440 -5.360e-02      -95.0400  0.2913 -6.830e-02
         2570.00      -123.080  0.3039 -3.140e-02      -156.350  0.3643 -4.040e-02      -293.420  0.3094 -3.600e-02      -214.250  0.3014 -3.410e-02      -152.540  0.2198 -3.640e-02      -99.2200 0.08610 -4.510e-02      -98.7100  0.1432 -5.130e-02      -98.6900  0.2893 -6.330e-02
         2580.00      -131.870  0.3026 -2.250e-02      -155.070  0.3646 -3.960e-02      -291.590  0.3098 -3.850e-02      -213.770  0.3015 -3.630e-02      -153.710  0.2193 -3.670e-02      -100.860 0.08550 -4.300e-02      -100.320  0.1422 -4.900e-02      -101.380  0.2880 -6.000e-02
         2590.00      -141.710  0.3011 -1.530e-02      -158.910  0.3638 -3.710e-02      -290.760  0.3100 -3.850e-02      -213.170  0.3017 -3.750e-02      -154.390  0.2190 -3.740e-02      -102.180 0.08510 -4.160e-02      -101.900  0.1413 -4.680e-02      -103.760  0.2868 -5.720e-02
