

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    49.00000  0.159730E+01  0.729100E+00  0.159730E+01  0.729100E+00 -0.152786E+02  -1049.280   -502.742    -98.728      49
    50.00000  0.163070E+01  0.744100E+00  0.163070E+01  0.744100E+00 -0.153410E+02  -1111.050   -510.491    -99.717      50
    51.00000  0.165560E+01  0.755200E+00  0.165560E+01  0.755200E+00 -0.154021E+02  -1078.040   -516.775   -100.683      51
    52.00000  0.165380E+01  0.763400E+00  0.165380E+01  0.763400E+00 -0.154623E+02   -859.689   -517.370   -101.632      52
    53.00000  0.167420E+01  0.772600E+00  0.167420E+01  0.772600E+00 -0.155213E+02   -929.025   -521.466   -102.564      53
    54.00000  0.172420E+01  0.795000E+00  0.172420E+01  0.795000E+00 -0.155791E+02  -1249.820   -532.586   -103.480      54
    55.00000  0.176150E+01  0.811700E+00  0.176150E+01  0.811700E+00 -0.156357E+02  -1331.190   -542.468   -104.386      55
    56.00000  0.180710E+01  0.832100E+00  0.180710E+01  0.832100E+00 -0.156913E+02  -1631.700   -554.580   -105.280      56
    57.00000  0.183090E+01  0.842700E+00  0.183090E+01  0.842700E+00 -0.157458E+02  -1443.480   -562.319   -106.166      57
    58.00000  0.182740E+01  0.854600E+00  0.182740E+01  0.854600E+00 -0.157994E+02  -1037.060   -563.036   -107.044      58
    59.00000  0.177960E+01  0.860000E+00  0.177960E+01  0.860000E+00 -0.158520E+02   -697.609   -553.474   -107.913      59
    60.00000  0.102180E+01  0.865400E+00  0.102180E+01  0.865400E+00 -0.159035E+02   -178.356   -477.711   -108.776      60
    61.00000  0.773900E+00  0.875300E+00  0.773900E+00  0.875300E+00 -0.159540E+02   -218.593   -450.877   -109.630      61
    62.00000  0.788300E+00  0.881700E+00  0.788300E+00  0.881700E+00 -0.160033E+02   -302.742   -447.972   -110.477      62
    63.00000  0.804600E+00  0.889000E+00  0.804600E+00  0.889000E+00 -0.160516E+02   -342.642   -447.697   -111.316      63
    64.00000  0.831699E+00  0.901100E+00  0.831700E+00  0.901100E+00 -0.160988E+02   -378.945   -453.290   -112.148      64
    65.00000  0.848799E+00  0.908800E+00  0.848800E+00  0.908800E+00 -0.161450E+02   -396.854   -455.354   -112.973      65
    66.00000  0.863699E+00  0.915500E+00  0.863700E+00  0.915500E+00 -0.161902E+02   -414.128   -462.128   -113.792      66
    67.00000  0.878899E+00  0.922300E+00  0.878900E+00  0.922300E+00 -0.162344E+02   -430.847   -469.668   -114.604      67
    68.00000  0.898199E+00  0.931000E+00  0.898200E+00  0.931000E+00 -0.162777E+02   -451.072   -472.689   -115.410      68
    69.00000  0.921999E+00  0.941600E+00  0.922000E+00  0.941600E+00 -0.163199E+02   -474.325   -481.823   -116.209      69
    70.00000  0.942699E+00  0.950900E+00  0.942700E+00  0.950900E+00 -0.163612E+02   -488.873   -485.113   -117.001      70
    71.00000  0.973099E+00  0.964500E+00  0.973100E+00  0.964500E+00 -0.164016E+02   -523.253   -495.795   -117.787      71
    72.00000  0.994299E+00  0.982900E+00  0.994300E+00  0.982900E+00 -0.164410E+02   -531.592   -506.007   -118.566      72
    73.00000  0.104010E+01  0.100350E+01  0.104010E+01  0.100350E+01 -0.164795E+02   -605.734   -512.442   -119.341      73
    74.00000  0.106360E+01  0.101400E+01  0.106360E+01  0.101400E+01 -0.165170E+02   -596.726   -522.579   -120.128      74
    75.00000  0.110520E+01  0.105960E+01  0.110520E+01  0.105960E+01 -0.165537E+02   -667.562   -529.960   -121.048      75
    76.00000  0.113780E+01  0.109980E+01  0.113780E+01  0.109980E+01 -0.165898E+02   -694.498   -543.296   -121.988      76
    77.00000  0.118010E+01  0.115790E+01  0.118010E+01  0.115790E+01 -0.166255E+02   -777.705   -553.485   -122.921      77
    78.00000  0.122370E+01  0.122430E+01  0.122370E+01  0.122430E+01 -0.166607E+02   -874.757   -570.374   -123.851      78
    79.00000  0.127200E+01  0.130560E+01  0.127200E+01  0.130560E+01 -0.166954E+02  -1028.000   -589.468   -124.778      79
    80.00000  0.131040E+01  0.137700E+01  0.131040E+01  0.137700E+01 -0.167296E+02  -1104.730   -604.095   -125.699      80
    81.00000  0.134990E+01  0.145750E+01  0.134990E+01  0.145750E+01 -0.167633E+02  -1252.100   -623.420   -126.611      81
    82.00000  0.138000E+01  0.152460E+01  0.138000E+01  0.152460E+01 -0.167965E+02  -1292.660   -637.877   -127.510      82
    83.00000  0.141510E+01  0.161010E+01  0.141510E+01  0.161010E+01 -0.168292E+02  -1486.620   -657.087   -128.393      83
    84.00000  0.143480E+01  0.166240E+01  0.143480E+01  0.166240E+01 -0.168614E+02  -1402.590   -672.436   -129.256      84
    85.00000  0.147560E+01  0.180450E+01  0.147560E+01  0.180450E+01 -0.168932E+02  -1947.300   -694.169   -130.101      85
    86.00000  0.153080E+01  0.205270E+01  0.153080E+01  0.205270E+01 -0.169246E+02  -3952.210   -737.280   -130.927      86
    87.00000  0.157600E+01  0.231190E+01  0.157600E+01  0.231190E+01 -0.169555E+02  -7518.480   -795.581   -131.735      87
    88.00000  0.160840E+01  0.254740E+01  0.160840E+01  0.254740E+01 -0.169860E+02 -11731.800   -859.638   -132.525      88
    89.00000  0.162520E+01  0.270070E+01  0.162520E+01  0.270070E+01 -0.170161E+02 -11520.900   -911.981   -133.298      89
    90.00000  0.164580E+01  0.289190E+01  0.164580E+01  0.289190E+01 -0.170457E+02 -17112.400   -964.776   -134.055      90
    91.00000  0.165850E+01  0.301220E+01  0.165850E+01  0.301220E+01 -0.170750E+02 -18209.100  -1010.880   -134.797      91
    92.00000  0.167180E+01  0.314040E+01  0.167180E+01  0.314040E+01 -0.171039E+02 -23062.699  -1052.640   -135.525      92
    93.00000  0.168700E+01  0.328850E+01  0.168700E+01  0.328850E+01 -0.171323E+02 -36458.102  -1104.480   -136.239      93
    94.00000  0.170180E+01  0.343600E+01  0.170180E+01  0.343600E+01 -0.171604E+02 -60676.398  -1171.260   -136.941      94
    95.00000  0.171540E+01  0.357370E+01  0.171522E+01  0.357370E+01 -0.171882E+02-100000.000  -1239.860   -137.630      95
    96.00000  0.173500E+01  0.379170E+01  0.172296E+01  0.379170E+01 -0.172155E+02-100000.000  -1315.560   -138.308      96
    97.00000  0.174670E+01  0.393460E+01  0.172822E+01  0.393460E+01 -0.172425E+02-100000.000  -1388.420   -138.974      97
    98.00000  0.177200E+01  0.427350E+01  0.173231E+01  0.427350E+01 -0.172692E+02-100000.000  -1499.290   -139.630      98
    99.00000  0.179030E+01  0.454140E+01  0.173511E+01  0.454140E+01 -0.172955E+02-100000.000  -1651.080   -140.276      99
   100.00000 -0.619520E+01  0.477460E+01 -0.625039E+01  0.477460E+01 -0.173215E+02    -29.889   -810.300   -140.915     100
   101.00000 -0.617710E+01  0.509370E+01 -0.623229E+01  0.509370E+01 -0.173472E+02   -112.468   -707.344   -141.545     101
   102.00000 -0.637220E+01  0.518780E+01 -0.642739E+01  0.518780E+01 -0.173725E+02   -121.811   -680.813   -142.164     102
   103.00000 -0.638230E+01  0.539090E+01 -0.643749E+01  0.539090E+01 -0.173976E+02   -151.992   -684.489   -142.776     103
   104.00000 -0.637480E+01  0.555590E+01 -0.642999E+01  0.555590E+01 -0.174222E+02   -171.720   -684.643   -143.378     104
   105.00000 -0.636220E+01  0.584970E+01 -0.641739E+01  0.584970E+01 -0.174465E+02   -189.707   -702.203   -143.972     105
   106.00000 -0.635590E+01  0.599790E+01 -0.641109E+01  0.599790E+01 -0.174705E+02   -203.049   -718.615   -144.558     106
   107.00000 -0.634390E+01  0.628310E+01 -0.639909E+01  0.628310E+01 -0.174942E+02   -218.182   -738.547   -145.137     107
   108.00000 -0.633340E+01  0.653490E+01 -0.638859E+01  0.653490E+01 -0.175176E+02   -232.860   -764.163   -145.709     108
   109.00000 -0.631800E+01  0.690960E+01 -0.637319E+01  0.690960E+01 -0.175406E+02   -251.038   -789.390   -146.273     109
   110.00000 -0.629930E+01  0.736860E+01 -0.635450E+01  0.736860E+01 -0.175634E+02   -276.391   -834.294   -146.831     110
   111.00000 -0.627930E+01  0.786400E+01 -0.633449E+01  0.786400E+01 -0.175858E+02   -305.010   -889.924   -147.383     111
   112.00000 -0.625840E+01  0.838780E+01 -0.631359E+01  0.838780E+01 -0.176080E+02   -341.727   -954.617   -147.928     112
   113.00000 -0.624620E+01  0.869510E+01 -0.630139E+01  0.869510E+01 -0.176299E+02   -367.730  -1011.580   -148.467     113
   114.00000 -0.623180E+01  0.906310E+01 -0.628699E+01  0.906310E+01 -0.176515E+02   -396.024  -1058.150   -149.000     114
   115.00000 -0.621730E+01  0.943731E+01 -0.627250E+01  0.943730E+01 -0.176728E+02   -431.655  -1115.750   -149.527     115
   116.00000 -0.620440E+01  0.974220E+01 -0.625959E+01  0.974220E+01 -0.176938E+02   -464.319  -1173.130   -150.049     116
   117.00000 -0.676760E+01  0.988840E+01 -0.682279E+01  0.988840E+01 -0.177146E+02   -184.923  -1181.030   -150.566     117
   118.00000 -0.675140E+01  0.102085E+02 -0.680659E+01  0.102085E+02 -0.177351E+02   -296.983  -1230.350   -151.079     118
   119.00000 -0.672850E+01  0.106226E+02 -0.678369E+01  0.106226E+02 -0.177553E+02   -359.080  -1296.260   -151.603     119
   120.00000 -0.147018E+02  0.110639E+02 -0.147570E+02  0.110639E+02 -0.177752E+02    -27.451  -1262.680   -152.205     120
   121.00000 -0.146731E+02  0.114974E+02 -0.147283E+02  0.114974E+02 -0.177950E+02    -95.856  -1302.460   -152.844     121
   122.00000 -0.147621E+02  0.116608E+02 -0.148173E+02  0.116608E+02 -0.178147E+02   -106.766  -1306.870   -153.466     122
   123.00000 -0.152208E+02  0.119722E+02 -0.152760E+02  0.119722E+02 -0.178341E+02    -95.064  -1334.120   -154.087     123
   124.00000 -0.156632E+02  0.122253E+02 -0.157184E+02  0.122253E+02 -0.178535E+02    -95.019  -1342.360   -154.711     124
   125.00000 -0.156307E+02  0.126850E+02 -0.156859E+02  0.126850E+02 -0.178726E+02   -123.639  -1386.940   -155.335     125
   126.00000 -0.155972E+02  0.131501E+02 -0.156524E+02  0.131501E+02 -0.178917E+02   -138.642  -1444.060   -155.959     126
   127.00000 -0.155630E+02  0.136177E+02 -0.156182E+02  0.136177E+02 -0.179106E+02   -151.675  -1507.150   -156.583     127
   128.00000 -0.155239E+02  0.141425E+02 -0.155791E+02  0.141425E+02 -0.179293E+02   -166.140  -1583.370   -157.209     128
   129.00000 -0.154764E+02  0.147691E+02 -0.155316E+02  0.147691E+02 -0.179479E+02   -184.098  -1674.030   -157.835     129
