

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   897.00000 -0.128621E+03  0.120534E+03 -0.139272E+03  0.120534E+03 -0.214032E+02    -77.418    -80.106   -402.260     897
   898.00000 -0.128408E+03  0.120537E+03 -0.139059E+03  0.120537E+03 -0.214046E+02   -137.520   -129.858   -402.490     898
   899.00000 -0.128190E+03  0.120540E+03 -0.138841E+03  0.120540E+03 -0.214060E+02   -164.199   -153.251   -402.720     899
   900.00000 -0.127986E+03  0.120544E+03 -0.138637E+03  0.120544E+03 -0.214074E+02   -182.163   -166.867   -402.949     900
   901.00000 -0.129366E+03  0.120547E+03 -0.140017E+03  0.120547E+03 -0.214087E+02    -76.849    -80.932   -403.179     901
   902.00000 -0.137159E+03  0.120552E+03 -0.147810E+03  0.120552E+03 -0.214101E+02    -24.814    -24.631   -403.408     902
   903.00000 -0.136915E+03  0.120559E+03 -0.147566E+03  0.120559E+03 -0.214115E+02    -76.394    -69.245   -403.637     903
   904.00000 -0.136600E+03  0.120569E+03 -0.147251E+03  0.120569E+03 -0.214129E+02    -94.191    -83.899   -403.867     904
   905.00000 -0.136286E+03  0.120579E+03 -0.146937E+03  0.120579E+03 -0.214143E+02   -107.718    -95.803   -404.096     905
   906.00000 -0.136530E+03  0.120583E+03 -0.147181E+03  0.120583E+03 -0.214157E+02    -89.608    -84.708   -404.325     906
   907.00000 -0.136374E+03  0.120593E+03 -0.147024E+03  0.120593E+03 -0.214171E+02   -107.867    -96.073   -404.555     907
   908.00000 -0.137439E+03  0.120596E+03 -0.148090E+03  0.120596E+03 -0.214185E+02    -69.259    -68.915   -404.784     908
   909.00000 -0.137270E+03  0.120604E+03 -0.147921E+03  0.120604E+03 -0.214199E+02   -100.649    -88.496   -405.013     909
   910.00000 -0.137119E+03  0.120612E+03 -0.147770E+03  0.120612E+03 -0.214212E+02   -109.827    -96.756   -405.242     910
   911.00000 -0.138869E+03  0.120619E+03 -0.149520E+03  0.120619E+03 -0.214226E+02    -57.433    -58.271   -405.470     911
   912.00000 -0.138733E+03  0.120627E+03 -0.149384E+03  0.120627E+03 -0.214240E+02    -92.403    -80.415   -405.699     912
   913.00000 -0.139729E+03  0.120631E+03 -0.150380E+03  0.120631E+03 -0.214254E+02    -66.731    -64.153   -405.928     913
   914.00000 -0.143059E+03  0.120635E+03 -0.153710E+03  0.120635E+03 -0.214268E+02    -39.642    -38.468   -406.156     914
   915.00000 -0.143026E+03  0.120648E+03 -0.153677E+03  0.120648E+03 -0.214281E+02    -74.068    -61.901   -406.385     915
   916.00000 -0.142856E+03  0.120661E+03 -0.153507E+03  0.120661E+03 -0.214295E+02    -88.300    -73.474   -406.614     916
   917.00000 -0.142641E+03  0.120678E+03 -0.153292E+03  0.120678E+03 -0.214309E+02    -99.563    -81.540   -406.842     917
   918.00000 -0.142555E+03  0.120686E+03 -0.153206E+03  0.120686E+03 -0.214322E+02   -101.381    -85.677   -407.071     918
   919.00000 -0.142357E+03  0.120704E+03 -0.153008E+03  0.120704E+03 -0.214336E+02   -113.125    -92.422   -407.300     919
   920.00000 -0.142601E+03  0.120724E+03 -0.153252E+03  0.120724E+03 -0.214350E+02    -95.390    -86.346   -407.528     920
   921.00000 -0.142356E+03  0.120756E+03 -0.153007E+03  0.120755E+03 -0.214363E+02   -121.518    -97.468   -407.757     921
   922.00000 -0.142311E+03  0.120772E+03 -0.152962E+03  0.120772E+03 -0.214377E+02   -117.551    -98.561   -407.985     922
   923.00000 -0.142168E+03  0.120811E+03 -0.152819E+03  0.120811E+03 -0.214391E+02   -128.222   -104.668   -408.213     923
   924.00000 -0.142000E+03  0.120849E+03 -0.152651E+03  0.120849E+03 -0.214404E+02   -138.216   -110.161   -408.441     924
   925.00000 -0.141681E+03  0.120932E+03 -0.152332E+03  0.120932E+03 -0.214418E+02   -168.865   -121.634   -408.669     925
   926.00000 -0.141613E+03  0.120988E+03 -0.152264E+03  0.120988E+03 -0.214431E+02   -152.737   -123.416   -408.896     926
   927.00000 -0.142336E+03  0.121037E+03 -0.152987E+03  0.121037E+03 -0.214445E+02    -93.846    -97.923   -409.123     927
   928.00000 -0.142105E+03  0.121122E+03 -0.152756E+03  0.121122E+03 -0.214458E+02   -143.632   -112.789   -409.350     928
   929.00000 -0.141874E+03  0.121217E+03 -0.152525E+03  0.121217E+03 -0.214472E+02   -166.623   -122.239   -409.576     929
   930.00000 -0.144247E+03  0.121278E+03 -0.154898E+03  0.121278E+03 -0.214485E+02    -55.938    -66.840   -409.802     930
   931.00000 -0.144675E+03  0.121356E+03 -0.155326E+03  0.121356E+03 -0.214499E+02    -82.438    -71.950   -410.027     931
   932.00000 -0.144448E+03  0.121507E+03 -0.155099E+03  0.121507E+03 -0.214512E+02   -116.199    -84.697   -410.253     932
   933.00000 -0.144373E+03  0.121668E+03 -0.155024E+03  0.121668E+03 -0.214526E+02   -121.204    -90.875   -410.478     933
   934.00000 -0.144207E+03  0.121819E+03 -0.154858E+03  0.121819E+03 -0.214539E+02   -137.280    -98.509   -410.702     934
   935.00000 -0.144007E+03  0.122029E+03 -0.154658E+03  0.122029E+03 -0.214552E+02   -155.707   -107.374   -410.926     935
   936.00000 -0.143888E+03  0.122220E+03 -0.154539E+03  0.122220E+03 -0.214566E+02   -162.036   -114.147   -411.150     936
   937.00000 -0.144613E+03  0.122375E+03 -0.155264E+03  0.122375E+03 -0.214579E+02    -97.530    -98.456   -411.374     937
   938.00000 -0.144451E+03  0.122623E+03 -0.155102E+03  0.122623E+03 -0.214593E+02   -147.060   -107.057   -411.597     938
   939.00000 -0.144281E+03  0.122913E+03 -0.154932E+03  0.122913E+03 -0.214606E+02   -174.281   -117.914   -411.820     939
   940.00000 -0.144191E+03  0.123179E+03 -0.154842E+03  0.123179E+03 -0.214619E+02   -184.208   -126.578   -412.042     940
   941.00000 -0.144072E+03  0.123526E+03 -0.154723E+03  0.123526E+03 -0.214633E+02   -209.332   -137.467   -412.265     941
   942.00000 -0.143938E+03  0.123821E+03 -0.154589E+03  0.123820E+03 -0.214646E+02   -241.692   -149.668   -412.487     942
   943.00000 -0.143851E+03  0.124028E+03 -0.154502E+03  0.124028E+03 -0.214659E+02   -252.546   -158.428   -412.709     943
   944.00000 -0.143683E+03  0.124457E+03 -0.154334E+03  0.124457E+03 -0.214672E+02   -325.694   -174.325   -412.930     944
   945.00000 -0.143526E+03  0.124886E+03 -0.154177E+03  0.124886E+03 -0.214686E+02   -426.596   -196.187   -413.152     945
   946.00000 -0.143425E+03  0.125182E+03 -0.154076E+03  0.125182E+03 -0.214699E+02   -474.193   -214.030   -413.373     946
   947.00000 -0.143305E+03  0.125557E+03 -0.153956E+03  0.125557E+03 -0.214712E+02   -623.093   -234.681   -413.593     947
   948.00000 -0.143262E+03  0.125799E+03 -0.153913E+03  0.125799E+03 -0.214725E+02   -571.632   -252.057   -413.814     948
   949.00000 -0.145428E+03  0.125994E+03 -0.156079E+03  0.125994E+03 -0.214738E+02    -77.818   -168.785   -414.034     949
   950.00000 -0.146432E+03  0.126284E+03 -0.157083E+03  0.126284E+03 -0.214752E+02    -90.587   -145.622   -414.255     950
   951.00000 -0.146350E+03  0.126616E+03 -0.157001E+03  0.126616E+03 -0.214765E+02   -155.460   -150.120   -414.474     951
   952.00000 -0.146266E+03  0.126958E+03 -0.156917E+03  0.126958E+03 -0.214778E+02   -192.947   -160.018   -414.694     952
   953.00000 -0.146157E+03  0.127410E+03 -0.156808E+03  0.127409E+03 -0.214791E+02   -241.753   -175.524   -414.913     953
   954.00000 -0.146042E+03  0.127891E+03 -0.156693E+03  0.127891E+03 -0.214804E+02   -307.519   -194.938   -415.132     954
   955.00000 -0.145931E+03  0.128356E+03 -0.156582E+03  0.128356E+03 -0.214817E+02   -395.027   -219.558   -415.351     955
   956.00000 -0.145837E+03  0.128756E+03 -0.156488E+03  0.128756E+03 -0.214830E+02   -496.387   -245.970   -415.570     956
   957.00000 -0.145758E+03  0.129095E+03 -0.156409E+03  0.129095E+03 -0.214843E+02   -607.244   -269.040   -415.788     957
   958.00000 -0.146002E+03  0.129255E+03 -0.156653E+03  0.129255E+03 -0.214856E+02   -278.412   -259.256   -416.007     958
   959.00000 -0.145920E+03  0.129614E+03 -0.156571E+03  0.129614E+03 -0.214869E+02   -473.203   -280.786   -416.225     959
   960.00000 -0.145862E+03  0.129868E+03 -0.156513E+03  0.129868E+03 -0.214882E+02   -576.047   -301.439   -416.442     960
   961.00000 -0.145790E+03  0.130237E+03 -0.156441E+03  0.130237E+03 -0.214895E+02   -790.269   -331.404   -416.660     961
   962.00000 -0.146429E+03  0.130375E+03 -0.157080E+03  0.130375E+03 -0.214908E+02   -187.110   -289.540   -416.877     962
   963.00000 -0.147723E+03  0.130494E+03 -0.158374E+03  0.130494E+03 -0.214921E+02   -103.514   -239.703   -417.094     963
   964.00000 -0.148954E+03  0.130625E+03 -0.159605E+03  0.130625E+03 -0.214934E+02    -89.641   -200.915   -417.311     964
   965.00000 -0.149014E+03  0.130756E+03 -0.159665E+03  0.130756E+03 -0.214947E+02   -146.843   -190.661   -417.528     965
   966.00000 -0.148963E+03  0.130985E+03 -0.159614E+03  0.130985E+03 -0.214960E+02   -187.155   -193.999   -417.745     966
   967.00000 -0.148926E+03  0.131151E+03 -0.159577E+03  0.131151E+03 -0.214973E+02   -213.047   -198.607   -417.961     967
   968.00000 -0.149309E+03  0.131268E+03 -0.159960E+03  0.131268E+03 -0.214986E+02   -151.048   -191.062   -418.177     968
   969.00000 -0.149410E+03  0.131394E+03 -0.160061E+03  0.131394E+03 -0.214999E+02   -177.541   -190.384   -418.393     969
   970.00000 -0.149898E+03  0.131663E+03 -0.160549E+03  0.131663E+03 -0.215011E+02   -136.331   -184.727   -418.609     970
   971.00000 -0.149817E+03  0.132015E+03 -0.160468E+03  0.132015E+03 -0.215024E+02   -208.961   -194.624   -418.824     971
   972.00000 -0.149768E+03  0.132223E+03 -0.160419E+03  0.132223E+03 -0.215037E+02   -239.113   -204.863   -419.040     972
   973.00000 -0.152082E+03  0.132337E+03 -0.162733E+03  0.132337E+03 -0.215050E+02    -65.763   -159.629   -419.254     973
   974.00000 -0.153335E+03  0.132580E+03 -0.163986E+03  0.132580E+03 -0.215063E+02    -74.778   -138.310   -419.469     974
   975.00000 -0.153256E+03  0.132920E+03 -0.163907E+03  0.132920E+03 -0.215075E+02   -128.447   -139.453   -419.684     975
   976.00000 -0.153178E+03  0.133255E+03 -0.163829E+03  0.133255E+03 -0.215088E+02   -154.687   -144.869   -419.899     976
   977.00000 -0.153161E+03  0.133457E+03 -0.163812E+03  0.133457E+03 -0.215101E+02   -165.746   -149.073   -420.113     977
   978.00000 -0.156257E+03  0.133564E+03 -0.166908E+03  0.133564E+03 -0.215113E+02    -49.868   -111.926   -420.328     978
   979.00000 -0.159023E+03  0.133664E+03 -0.169674E+03  0.133664E+03 -0.215126E+02    -46.152    -84.494   -420.542     979
   980.00000 -0.158966E+03  0.133909E+03 -0.169617E+03  0.133909E+03 -0.215139E+02    -86.208    -80.005   -420.756     980
   981.00000 -0.159313E+03  0.134050E+03 -0.169964E+03  0.134050E+03 -0.215151E+02    -82.554    -73.868   -420.970     981
   982.00000 -0.159837E+03  0.134163E+03 -0.170488E+03  0.134163E+03 -0.215164E+02    -78.415    -67.771   -421.183     982
   983.00000 -0.159780E+03  0.134404E+03 -0.170431E+03  0.134404E+03 -0.215177E+02   -100.253    -69.072   -421.397     983
   984.00000 -0.159723E+03  0.134724E+03 -0.170374E+03  0.134724E+03 -0.215189E+02   -110.409    -72.429   -421.610     984
   985.00000 -0.159659E+03  0.134983E+03 -0.170310E+03  0.134982E+03 -0.215202E+02   -119.426    -76.831   -421.823     985
   986.00000 -0.159782E+03  0.135092E+03 -0.170433E+03  0.135092E+03 -0.215215E+02   -111.617    -78.085   -422.036     986
   987.00000 -0.159714E+03  0.135361E+03 -0.170365E+03  0.135361E+03 -0.215227E+02   -127.451    -82.838   -422.249     987
   988.00000 -0.159668E+03  0.135539E+03 -0.170319E+03  0.135539E+03 -0.215240E+02   -134.297    -87.319   -422.462     988
   989.00000 -0.160295E+03  0.135626E+03 -0.170946E+03  0.135626E+03 -0.215252E+02    -93.567    -82.770   -422.674     989
   990.00000 -0.160319E+03  0.135797E+03 -0.170970E+03  0.135797E+03 -0.215265E+02   -118.824    -85.903   -422.887     990
   991.00000 -0.160668E+03  0.136021E+03 -0.171319E+03  0.136021E+03 -0.215277E+02   -104.995    -85.867   -423.099     991
   992.00000 -0.160603E+03  0.136255E+03 -0.171254E+03  0.136255E+03 -0.215290E+02   -130.757    -90.458   -423.311     992
   993.00000 -0.160547E+03  0.136460E+03 -0.171198E+03  0.136460E+03 -0.215302E+02   -140.914    -94.995   -423.523     993
   994.00000 -0.160491E+03  0.136659E+03 -0.171142E+03  0.136659E+03 -0.215315E+02   -149.113    -99.431   -423.734     994
   995.00000 -0.160433E+03  0.136869E+03 -0.171084E+03  0.136869E+03 -0.215327E+02   -157.517   -104.073   -423.946     995
   996.00000 -0.160373E+03  0.137087E+03 -0.171024E+03  0.137087E+03 -0.215340E+02   -166.456   -109.052   -424.157     996
   997.00000 -0.160316E+03  0.137294E+03 -0.170967E+03  0.137294E+03 -0.215352E+02   -174.827   -114.173   -424.368     997
   998.00000 -0.160348E+03  0.137395E+03 -0.170999E+03  0.137395E+03 -0.215364E+02   -164.841   -116.230   -424.579     998
   999.00000 -0.160324E+03  0.137516E+03 -0.170975E+03  0.137516E+03 -0.215377E+02   -173.620   -119.578   -424.790     999
  1000.00000 -0.160280E+03  0.137674E+03 -0.170931E+03  0.137674E+03 -0.215389E+02   -182.759   -123.697   -425.001    1000
  1001.00000 -0.160240E+03  0.137818E+03 -0.170891E+03  0.137818E+03 -0.215401E+02   -189.498   -127.875   -425.211    1001
  1002.00000 -0.161067E+03  0.137868E+03 -0.171718E+03  0.137868E+03 -0.215414E+02   -103.299   -116.681   -425.422    1002
  1003.00000 -0.161082E+03  0.137993E+03 -0.171733E+03  0.137993E+03 -0.215426E+02   -143.770   -118.683   -425.632    1003
  1004.00000 -0.161035E+03  0.138162E+03 -0.171686E+03  0.138162E+03 -0.215438E+02   -162.874   -122.593   -425.842    1004
  1005.00000 -0.161466E+03  0.138231E+03 -0.172117E+03  0.138231E+03 -0.215451E+02   -121.166   -269.194   -426.052    1005
  1006.00000 -0.162355E+03  0.138270E+03 -0.173006E+03  0.138270E+03 -0.215463E+02    -89.515   -267.626   -426.628    1006
  1007.00000 -0.165295E+03  0.138270E+03 -0.175946E+03  0.138270E+03 -0.215475E+02    -47.974    -48.503   -426.927    1007
  1008.00000 -0.168325E+03  0.138270E+03 -0.178976E+03  0.138270E+03 -0.215487E+02    -42.433    -42.378   -427.159    1008
  1009.00000 -0.169757E+03  0.138270E+03 -0.180408E+03  0.138270E+03 -0.215500E+02    -52.566    -51.702   -427.385    1009
  1010.00000 -0.169686E+03  0.138270E+03 -0.180337E+03  0.138270E+03 -0.215512E+02    -78.630    -75.435   -427.609    1010
  1011.00000 -0.169529E+03  0.138270E+03 -0.180180E+03  0.138270E+03 -0.215524E+02    -90.638    -85.687   -427.831    1011
  1012.00000 -0.169416E+03  0.138270E+03 -0.180067E+03  0.138270E+03 -0.215536E+02    -96.808    -90.797   -428.051    1012
  1013.00000 -0.169338E+03  0.138270E+03 -0.179989E+03  0.138270E+03 -0.215548E+02   -101.050    -95.251   -428.269    1013
  1014.00000 -0.169236E+03  0.138270E+03 -0.179887E+03  0.138270E+03 -0.215560E+02   -107.039    -99.633   -428.486    1014
  1015.00000 -0.169183E+03  0.138270E+03 -0.179834E+03  0.138270E+03 -0.215572E+02   -109.107   -102.339   -428.702    1015
  1016.00000 -0.169114E+03  0.138270E+03 -0.179765E+03  0.138270E+03 -0.215585E+02   -113.294   -105.094   -428.917    1016
  1017.00000 -0.168983E+03  0.138272E+03 -0.179634E+03  0.138272E+03 -0.215597E+02   -121.415   -110.254   -429.132    1017
  1018.00000 -0.168883E+03  0.138275E+03 -0.179534E+03  0.138275E+03 -0.215609E+02   -124.935   -114.102   -429.345    1018
  1019.00000 -0.168765E+03  0.138278E+03 -0.179416E+03  0.138278E+03 -0.215621E+02   -130.663   -117.634   -429.558    1019
  1020.00000 -0.168615E+03  0.138284E+03 -0.179266E+03  0.138284E+03 -0.215633E+02   -138.775   -123.900   -429.770    1020
  1021.00000 -0.168498E+03  0.138290E+03 -0.179149E+03  0.138290E+03 -0.215645E+02   -141.895   -126.301   -429.982    1021
  1022.00000 -0.168400E+03  0.138295E+03 -0.179051E+03  0.138295E+03 -0.215657E+02   -144.345   -127.962   -430.193    1022
  1023.00000 -0.168385E+03  0.138298E+03 -0.179036E+03  0.138298E+03 -0.215669E+02   -139.081   -126.793   -430.404    1023
  1024.00000 -0.168239E+03  0.138309E+03 -0.178890E+03  0.138309E+03 -0.215681E+02   -153.768   -133.057   -430.614    1024
  1025.00000 -0.168019E+03  0.138326E+03 -0.178670E+03  0.138326E+03 -0.215693E+02   -174.608   -144.440   -430.824    1025
  1026.00000 -0.167924E+03  0.138335E+03 -0.178575E+03  0.138335E+03 -0.215705E+02   -167.520   -144.269   -431.033    1026
  1027.00000 -0.167778E+03  0.138349E+03 -0.178429E+03  0.138349E+03 -0.215717E+02   -178.068   -148.524   -431.242    1027
  1028.00000 -0.167691E+03  0.138358E+03 -0.178342E+03  0.138358E+03 -0.215728E+02   -175.641   -150.586   -431.450    1028
  1029.00000 -0.167635E+03  0.138364E+03 -0.178286E+03  0.138364E+03 -0.215740E+02   -172.420   -149.616   -431.658    1029
  1030.00000 -0.168195E+03  0.138368E+03 -0.178846E+03  0.138368E+03 -0.215752E+02   -110.456   -118.505   -431.866    1030
  1031.00000 -0.168127E+03  0.138377E+03 -0.178778E+03  0.138377E+03 -0.215764E+02   -144.964   -128.540   -432.073    1031
  1032.00000 -0.168043E+03  0.138389E+03 -0.178694E+03  0.138389E+03 -0.215776E+02   -156.780   -134.559   -432.280    1032
  1033.00000 -0.167985E+03  0.138397E+03 -0.178636E+03  0.138397E+03 -0.215788E+02   -160.724   -138.494   -432.486    1033
  1034.00000 -0.167917E+03  0.138408E+03 -0.178568E+03  0.138408E+03 -0.215800E+02   -166.120   -141.088   -432.693    1034
  1035.00000 -0.167871E+03  0.138416E+03 -0.178522E+03  0.138416E+03 -0.215811E+02   -167.156   -143.389   -432.898    1035
  1036.00000 -0.167903E+03  0.138421E+03 -0.178554E+03  0.138421E+03 -0.215823E+02   -157.054   -140.318   -433.104    1036
  1037.00000 -0.167923E+03  0.138426E+03 -0.178574E+03  0.138426E+03 -0.215835E+02   -156.743   -139.005   -433.309    1037
  1038.00000 -0.167912E+03  0.138432E+03 -0.178563E+03  0.138432E+03 -0.215847E+02   -161.054   -140.530   -433.513    1038
  1039.00000 -0.167983E+03  0.138442E+03 -0.178634E+03  0.138442E+03 -0.215858E+02   -151.713   -137.481   -433.718    1039
  1040.00000 -0.167934E+03  0.138453E+03 -0.178585E+03  0.138453E+03 -0.215870E+02   -165.534   -141.096   -433.922    1040
  1041.00000 -0.167860E+03  0.138469E+03 -0.178511E+03  0.138469E+03 -0.215882E+02   -175.064   -144.549   -434.125    1041
  1042.00000 -0.167805E+03  0.138482E+03 -0.178456E+03  0.138482E+03 -0.215894E+02   -178.038   -146.564   -434.329    1042
  1043.00000 -0.167758E+03  0.138493E+03 -0.178409E+03  0.138493E+03 -0.215905E+02   -179.895   -148.985   -434.531    1043
  1044.00000 -0.167565E+03  0.138542E+03 -0.178216E+03  0.138542E+03 -0.215917E+02   -217.293   -157.869   -434.734    1044
  1045.00000 -0.167483E+03  0.138563E+03 -0.178134E+03  0.138563E+03 -0.215929E+02   -210.138   -162.132   -434.936    1045
  1046.00000 -0.167404E+03  0.138584E+03 -0.178055E+03  0.138584E+03 -0.215940E+02   -212.237   -164.236   -435.138    1046
  1047.00000 -0.167340E+03  0.138602E+03 -0.177991E+03  0.138602E+03 -0.215952E+02   -212.294   -165.621   -435.340    1047
  1048.00000 -0.167252E+03  0.138628E+03 -0.177903E+03  0.138628E+03 -0.215963E+02   -221.882   -169.920   -435.541    1048
  1049.00000 -0.167129E+03  0.138665E+03 -0.177780E+03  0.138665E+03 -0.215975E+02   -241.407   -175.054   -435.742    1049
  1050.00000 -0.167000E+03  0.138705E+03 -0.177651E+03  0.138705E+03 -0.215987E+02   -260.113   -182.394   -435.943    1050
  1051.00000 -0.166818E+03  0.138763E+03 -0.177469E+03  0.138763E+03 -0.215998E+02   -307.815   -191.914   -436.144    1051
  1052.00000 -0.166747E+03  0.138786E+03 -0.177398E+03  0.138786E+03 -0.216010E+02   -279.709   -193.959   -436.344    1052
  1053.00000 -0.166662E+03  0.138816E+03 -0.177313E+03  0.138816E+03 -0.216021E+02   -284.437   -198.278   -436.544    1053
  1054.00000 -0.166595E+03  0.138839E+03 -0.177246E+03  0.138839E+03 -0.216033E+02   -281.089   -199.879   -436.744    1054
  1055.00000 -0.174530E+03  0.138863E+03 -0.185181E+03  0.138863E+03 -0.216044E+02    -26.285    -33.349   -436.944    1055
  1056.00000 -0.174485E+03  0.138879E+03 -0.185136E+03  0.138879E+03 -0.216056E+02    -77.506    -50.764   -437.143    1056
  1057.00000 -0.174452E+03  0.138892E+03 -0.185103E+03  0.138892E+03 -0.216067E+02    -87.690    -59.163   -437.342    1057
  1058.00000 -0.174426E+03  0.138902E+03 -0.185077E+03  0.138902E+03 -0.216079E+02    -93.919    -64.854   -437.540    1058
  1059.00000 -0.174330E+03  0.138941E+03 -0.184981E+03  0.138941E+03 -0.216090E+02   -102.729    -70.716   -437.739    1059
  1060.00000 -0.174276E+03  0.138963E+03 -0.184927E+03  0.138963E+03 -0.216102E+02   -106.672    -75.144   -437.937    1060
  1061.00000 -0.174219E+03  0.138988E+03 -0.184870E+03  0.138988E+03 -0.216113E+02   -111.147    -79.193   -438.135    1061
  1062.00000 -0.174173E+03  0.139008E+03 -0.184824E+03  0.139008E+03 -0.216124E+02   -114.599    -81.844   -438.332    1062
  1063.00000 -0.174144E+03  0.139021E+03 -0.184795E+03  0.139021E+03 -0.216136E+02   -116.843    -84.743   -438.530    1063
  1064.00000 -0.174102E+03  0.139040E+03 -0.184753E+03  0.139040E+03 -0.216147E+02   -120.531    -87.717   -438.727    1064
  1065.00000 -0.174066E+03  0.139056E+03 -0.184717E+03  0.139056E+03 -0.216158E+02   -123.308    -90.469   -438.924    1065
  1066.00000 -0.174027E+03  0.139074E+03 -0.184678E+03  0.139074E+03 -0.216170E+02   -126.541    -93.233   -439.120    1066
  1067.00000 -0.173999E+03  0.139086E+03 -0.184650E+03  0.139086E+03 -0.216181E+02   -128.447    -95.623   -439.316    1067
  1068.00000 -0.173976E+03  0.139096E+03 -0.184627E+03  0.139096E+03 -0.216192E+02   -130.271    -97.772   -439.512    1068
  1069.00000 -0.173945E+03  0.139110E+03 -0.184596E+03  0.139110E+03 -0.216204E+02   -133.148    -99.196   -439.708    1069
  1070.00000 -0.173912E+03  0.139125E+03 -0.184563E+03  0.139125E+03 -0.216215E+02   -135.900   -101.509   -439.904    1070
  1071.00000 -0.173884E+03  0.139138E+03 -0.184535E+03  0.139138E+03 -0.216226E+02   -137.979   -103.643   -440.099    1071
  1072.00000 -0.173861E+03  0.139148E+03 -0.184512E+03  0.139148E+03 -0.216238E+02   -139.552   -105.555   -440.295    1072
  1073.00000 -0.173834E+03  0.139160E+03 -0.184485E+03  0.139160E+03 -0.216249E+02   -141.851   -107.534   -440.489    1073
  1074.00000 -0.173820E+03  0.139166E+03 -0.184471E+03  0.139166E+03 -0.216260E+02   -142.525   -109.114   -440.684    1074
  1075.00000 -0.173799E+03  0.139176E+03 -0.184450E+03  0.139176E+03 -0.216271E+02   -144.624   -110.838   -440.879    1075
  1076.00000 -0.173769E+03  0.139189E+03 -0.184420E+03  0.139189E+03 -0.216282E+02   -147.578   -111.985   -441.073    1076
  1077.00000 -0.173743E+03  0.139201E+03 -0.184394E+03  0.139201E+03 -0.216294E+02   -149.523   -113.872   -441.267    1077
  1078.00000 -0.173727E+03  0.139208E+03 -0.184378E+03  0.139208E+03 -0.216305E+02   -150.251   -115.400   -441.461    1078
  1079.00000 -0.173695E+03  0.139222E+03 -0.184346E+03  0.139222E+03 -0.216316E+02   -153.550   -117.338   -441.654    1079
  1080.00000 -0.173643E+03  0.139246E+03 -0.184294E+03  0.139246E+03 -0.216327E+02   -158.972   -119.980   -441.848    1080
  1081.00000 -0.173616E+03  0.139258E+03 -0.184267E+03  0.139258E+03 -0.216338E+02   -159.299   -121.874   -442.041    1081
  1082.00000 -0.173593E+03  0.139268E+03 -0.184244E+03  0.139268E+03 -0.216349E+02   -160.135   -123.464   -442.234    1082
  1083.00000 -0.173557E+03  0.139284E+03 -0.184208E+03  0.139284E+03 -0.216360E+02   -163.640   -124.613   -442.426    1083
  1084.00000 -0.173531E+03  0.139296E+03 -0.184182E+03  0.139296E+03 -0.216372E+02   -164.752   -126.345   -442.619    1084
  1085.00000 -0.173506E+03  0.139307E+03 -0.184157E+03  0.139307E+03 -0.216383E+02   -166.148   -127.963   -442.811    1085
  1086.00000 -0.173436E+03  0.139338E+03 -0.184087E+03  0.139338E+03 -0.216394E+02   -175.515   -131.193   -443.003    1086
  1087.00000 -0.173386E+03  0.139361E+03 -0.184037E+03  0.139361E+03 -0.216405E+02   -177.874   -133.891   -443.195    1087
  1088.00000 -0.173329E+03  0.139386E+03 -0.183980E+03  0.139386E+03 -0.216416E+02   -182.325   -136.734   -443.387    1088
  1089.00000 -0.173303E+03  0.139398E+03 -0.183954E+03  0.139398E+03 -0.216427E+02   -180.387   -138.432   -443.578    1089
  1090.00000 -0.173269E+03  0.139413E+03 -0.183920E+03  0.139413E+03 -0.216438E+02   -182.430   -139.318   -443.769    1090
  1091.00000 -0.173255E+03  0.139419E+03 -0.183906E+03  0.139419E+03 -0.216449E+02   -180.602   -140.442   -443.961    1091
  1092.00000 -0.173205E+03  0.139442E+03 -0.183856E+03  0.139442E+03 -0.216460E+02   -187.576   -142.817   -444.151    1092
  1093.00000 -0.173168E+03  0.139459E+03 -0.183819E+03  0.139459E+03 -0.216471E+02   -189.485   -144.937   -444.342    1093
  1094.00000 -0.173118E+03  0.139481E+03 -0.183769E+03  0.139481E+03 -0.216482E+02   -194.519   -147.444   -444.532    1094
  1095.00000 -0.173049E+03  0.139512E+03 -0.183700E+03  0.139512E+03 -0.216493E+02   -203.305   -150.849   -444.723    1095
  1096.00000 -0.172993E+03  0.139537E+03 -0.183644E+03  0.139537E+03 -0.216504E+02   -206.406   -153.840   -444.913    1096
  1097.00000 -0.172947E+03  0.139558E+03 -0.183598E+03  0.139558E+03 -0.216514E+02   -208.055   -155.303   -445.102    1097
  1098.00000 -0.172902E+03  0.139578E+03 -0.183553E+03  0.139578E+03 -0.216525E+02   -210.285   -157.679   -445.292    1098
  1099.00000 -0.172879E+03  0.139588E+03 -0.183530E+03  0.139588E+03 -0.216536E+02   -207.148   -159.076   -445.481    1099
  1100.00000 -0.172858E+03  0.139598E+03 -0.183509E+03  0.139598E+03 -0.216547E+02   -206.670   -160.304   -445.671    1100
  1101.00000 -0.172844E+03  0.139604E+03 -0.183495E+03  0.139604E+03 -0.216558E+02   -205.225   -161.208   -445.860    1101
  1102.00000 -0.172828E+03  0.139611E+03 -0.183479E+03  0.139611E+03 -0.216569E+02   -205.462   -161.155   -446.048    1102
  1103.00000 -0.172814E+03  0.139617E+03 -0.183465E+03  0.139617E+03 -0.216580E+02   -205.757   -162.095   -446.237    1103
